season,player_name,position,adp_overall,source_name
2023,Dalton Schultz,TE,124.5,fantasypros
2023,Damien Harris,RB,125.5,fantasypros
2023,Dallas Cowboys,DST,127.0,fantasypros
2023,Jared Goff,QB,128.0,fantasypros
2023,Adam Thielen,WR,130.0,fantasypros
2023,Tank Bigsby,RB,130.0,fantasypros
2023,Jerick McKinnon,RB,130.5,fantasypros
2023,Allen Lazard,WR,132.5,fantasypros
2023,Cole Kmet,TE,138.5,fantasypros
2023,Tyler Allgeier,RB,138.5,fantasypros
2023,Buffalo Bills,DST,139.5,fantasypros
2023,Daniel Carlson,K,142.5,fantasypros
2023,Tyler Higbee,TE,143.5,fantasypros
2023,Chig Okonkwo,TE,144.5,fantasypros
2023,Romeo Doubs,WR,145.5,fantasypros
2023,Evan McPherson,K,147.5,fantasypros
2023,Tyler Bass,K,148.0,fantasypros
2023,D'Onta Foreman,RB,149.5,fantasypros
2023,New England Patriots,DST,150.0,fantasypros
2023,Rashod Bateman,WR,151.0,fantasypros
2023,Jameson Williams,WR,152.0,fantasypros
2023,Russell Wilson,QB,152.0,fantasypros
2023,Sam LaPorta,TE,152.5,fantasypros
2023,Harrison Butker,K,153.0,fantasypros
2023,New York Jets,DST,154.0,fantasypros
2023,Roschon Johnson,RB,154.0,fantasypros
2023,Derek Carr,QB,156.0,fantasypros
2023,Kenneth Gainwell,RB,157.0,fantasypros
2023,Kareem Hunt,RB,157.5,fantasypros
2023,Jalin Hyatt,WR,159.0,fantasypros
2023,Brock Purdy,QB,159.5,fantasypros
2023,Baltimore Ravens,DST,160.0,fantasypros
2023,Juwan Johnson,TE,160.5,fantasypros
2023,Deuce Vaughn,RB,161.5,fantasypros
2023,Devin Singletary,RB,161.5,fantasypros
2023,Kenny Pickett,QB,162.0,fantasypros
2023,Nico Collins,WR,162.5,fantasypros
2023,Jordan Love,QB,163.0,fantasypros
2023,Jakobi Meyers,WR,163.5,fantasypros
2023,Tyler Boyd,WR,163.5,fantasypros
2023,Tyjae Spears,RB,168.0,fantasypros
2023,Kendre Miller,RB,169.0,fantasypros
2023,Marvin Mims Jr.,WR,169.5,fantasypros
2023,Greg Dulcich,TE,170.0,fantasypros
2023,Darnell Mooney,WR,170.5,fantasypros
2023,Deon Jackson,RB,172.0,fantasypros
2023,Younghoe Koo,K,172.0,fantasypros
2023,Rashee Rice,WR,174.5,fantasypros
2023,New Orleans Saints,DST,175.5,fantasypros
2023,Bryce Young,QB,177.5,fantasypros
2023,Pittsburgh Steelers,DST,178.0,fantasypros
2023,Chuba Hubbard,RB,178.5,fantasypros
2023,Luke Musgrave,TE,179.5,fantasypros
2023,Washington Commanders,DST,181.5,fantasypros
2023,Jason Myers,K,182.0,fantasypros
2023,Jonathan Mingo,WR,182.0,fantasypros
2023,Zay Jones,WR,182.5,fantasypros
2023,Jake Elliott,K,183.5,fantasypros
2023,Van Jefferson,WR,185.0,fantasypros
2023,Brandon McManus,K,186.0,fantasypros
2023,Sam Howell,QB,187.0,fantasypros
2023,nan,1,188.0,fantasypros
2023,Matthew Stafford,QB,189.0,fantasypros
2023,Gerald Everett,TE,190.0,fantasypros
2023,Donovan Peoples-Jones,WR,190.5,fantasypros
2023,Miami Dolphins,DST,191.0,fantasypros
2023,Cameron Dicker,K,193.5,fantasypros
2023,Zack Moss,RB,193.5,fantasypros
2023,C.J. Stroud,QB,195.5,fantasypros
2023,Kyren Williams,RB,196.0,fantasypros
2023,Gus Edwards,RB,199.0,fantasypros
2023,Jacksonville Jaguars,DST,199.5,fantasypros
2023,Kyler Murray,QB,199.5,fantasypros
2023,K.J. Osborn,WR,200.5,fantasypros
2023,Jason Sanders,K,201.0,fantasypros
2023,Parris Campbell,WR,202.0,fantasypros
2023,Clyde Edwards-Helaire,RB,202.5,fantasypros
2023,Greg Zuerlein,K,202.5,fantasypros
2023,Jimmy Garoppolo,QB,202.5,fantasypros
2023,Taysom Hill,TE,202.5,fantasypros
2023,Michael Gallup,WR,204.0,fantasypros
2023,Joshua Kelley,RB,204.5,fantasypros
2023,Cordarrelle Patterson,RB,205.5,fantasypros
2023,Jake Ferguson,TE,206.0,fantasypros
2023,Seattle Seahawks,DST,206.5,fantasypros
2023,Denver Broncos,DST,208.0,fantasypros
2023,Zamir White,RB,208.0,fantasypros
2023,Alec Pierce,WR,211.0,fantasypros
2023,Ty Chandler,RB,211.5,fantasypros
2023,Irv Smith Jr.,TE,212.0,fantasypros
2023,Richie James Jr.,WR,213.0,fantasypros
2023,Jayden Reed,WR,213.5,fantasypros
